oid,name,id
1.3.6.1.4.1.32898.1.4.2.100,IN1-17,3c598df962ebadd11be6a45d6a9b63cd
1.3.6.1.4.1.32898.1.4.2.100,PID-10,f5d306771ee5327321a1e580ab27ce39
1.3.6.1.4.1.32898.1.4.2.100,PID-22,cfe1bbe51cd4e94ecd8a4d29406312d1
1.3.6.1.4.1.32898.1.4.2.100,PID-30,f0273320c4bbfe33f73f3b3d306e2bf0
1.3.6.1.4.1.32898.1.4.2.100,PID-8,7a3f3afe3a8b2bcffe524712ebb912e9
1.3.6.1.4.1.32898.1.4.2.100,PV1-10,7b52c698f9b33708fb667fc714d2285a
1.3.6.1.4.1.32898.1.4.2.100,PV1-14,fa6d312796d362859bf9270cfe7804a8
1.3.6.1.4.1.32898.1.4.2.100,PV1-18,f70f20e384f2e213c22e2ef07ac47c77
1.3.6.1.4.1.32898.1.4.2.100,PV1-2,8fa3069517639d52d47b9235688c3a7d
1.3.6.1.4.1.32898.1.4.2.100,PV1-36,4bff1c8aea5ae014f2db29d359e12890
1.3.6.1.4.1.32898.1.4.2.100,PV1-4,ddccc34663522bf153af2fe889029757
1.3.6.1.4.1.32898.1.4.2.11,DG1-6,40b4547dda6b5dd83a671573b5865dea
1.3.6.1.4.1.32898.1.4.2.11,IN1,c58a44c8be8ee4a1e1b320ff572fd391
1.3.6.1.4.1.32898.1.4.2.11,IN1-17,3c598df962ebadd11be6a45d6a9b63cd
1.3.6.1.4.1.32898.1.4.2.11,PID-10,f5d306771ee5327321a1e580ab27ce39
1.3.6.1.4.1.32898.1.4.2.11,PID-22,cfe1bbe51cd4e94ecd8a4d29406312d1
1.3.6.1.4.1.32898.1.4.2.11,PID-30,f0273320c4bbfe33f73f3b3d306e2bf0
1.3.6.1.4.1.32898.1.4.2.11,PID-8,7a3f3afe3a8b2bcffe524712ebb912e9
1.3.6.1.4.1.32898.1.4.2.11,PV1-10,7b52c698f9b33708fb667fc714d2285a
1.3.6.1.4.1.32898.1.4.2.11,PV1-14,fa6d312796d362859bf9270cfe7804a8
1.3.6.1.4.1.32898.1.4.2.11,PV1-18,f70f20e384f2e213c22e2ef07ac47c77
1.3.6.1.4.1.32898.1.4.2.11,PV1-2,8fa3069517639d52d47b9235688c3a7d
1.3.6.1.4.1.32898.1.4.2.11,PV1-36,4bff1c8aea5ae014f2db29d359e12890
